"TIME_PERIOD";"type";"variation_yoy"
2024-01-01;"Inflation sous-jacente";2,9
2024-02-01;"Inflation sous-jacente";2,6
2024-03-01;"Inflation sous-jacente";3,2
2024-04-01;"Inflation sous-jacente";2,4
2024-05-01;"Inflation sous-jacente";3,5
2024-06-01;"Inflation sous-jacente";2,5
2024-07-01;"Inflation sous-jacente";2,2
2024-08-01;"Inflation sous-jacente";1,8
2024-09-01;"Inflation sous-jacente";3,1
2024-10-01;"Inflation sous-jacente";2,8
2024-11-01;"Inflation sous-jacente";2,7
2024-12-01;"Inflation sous-jacente";2,9
2025-01-01;"Inflation sous-jacente";3
2025-02-01;"Inflation sous-jacente";2,7
2025-03-01;"Inflation sous-jacente";2,1
2025-04-01;"Inflation sous-jacente";2,7
2025-05-01;"Inflation sous-jacente";1,7
2025-06-01;"Inflation sous-jacente";2,2
2025-07-01;"Inflation sous-jacente";2,5
2025-08-01;"Inflation sous-jacente";2,5
2025-09-01;"Inflation sous-jacente";1,6
2025-10-01;"Inflation sous-jacente";1,9
2024-01-01;"Inflation totale";2,5
2024-02-01;"Inflation totale";2,3
2024-03-01;"Inflation totale";2,6
2024-04-01;"Inflation totale";2,3
2024-05-01;"Inflation totale";3,8
2024-06-01;"Inflation totale";3,1
2024-07-01;"Inflation totale";2,7
2024-08-01;"Inflation totale";1,8
2024-09-01;"Inflation totale";2,6
2024-10-01;"Inflation totale";2,6
2024-11-01;"Inflation totale";2,7
2024-12-01;"Inflation totale";3,1
2025-01-01;"Inflation totale";2,7
2025-02-01;"Inflation totale";2,5
2025-03-01;"Inflation totale";1,9
2025-04-01;"Inflation totale";2,1
2025-05-01;"Inflation totale";1,7
2025-06-01;"Inflation totale";2,1
2025-07-01;"Inflation totale";2,5
2025-08-01;"Inflation totale";2,5
2025-09-01;"Inflation totale";1,9
2025-10-01;"Inflation totale";2
